Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","8 of 1070"

,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Detailed Fields]","[First-Time Students]","[Sex]",
"2016","Total for selected values","Total for selected values","Total for selected values","Total for selected values","27,120",
"2016","Dartmouth College","Total for selected values","Total for selected values","Total for selected values","937",
"2016","Dartmouth College","Biochemistry","Total for selected values","Total for selected values","37",
"2016","Dartmouth College","Biochemistry","Returning Students","Total for selected values","37",
"2016","Dartmouth College","Biochemistry","Returning Students","Female","18",
"2016","Dartmouth College","Biochemistry","Returning Students","Male","19",
"2016","Dartmouth College","Biology","Total for selected values","Total for selected values","43",
"2016","Dartmouth College","Biology","First Time Students","Total for selected values","24",
"2016","Dartmouth College","Biology","First Time Students","Female","10",
"2016","Dartmouth College","Biology","First Time Students","Male","14",
"2016","Dartmouth College","Biology","Returning Students","Total for selected values","19",
"2016","Dartmouth College","Biology","Returning Students","Female","10",
"2016","Dartmouth College","Biology","Returning Students","Male","9",
"2016","Dartmouth College","Biosciences not elsewhere classified","Total for selected values","Total for selected values","76",
"2016","Dartmouth College","Biosciences not elsewhere classified","First Time Students","Total for selected values","15",
"2016","Dartmouth College","Biosciences not elsewhere classified","First Time Students","Female","12",
"2016","Dartmouth College","Biosciences not elsewhere classified","First Time Students","Male","3",
"2016","Dartmouth College","Biosciences not elsewhere classified","Returning Students","Total for selected values","61",
"2016","Dartmouth College","Biosciences not elsewhere classified","Returning Students","Female","38",
"2016","Dartmouth College","Biosciences not elsewhere classified","Returning Students","Male","23",
"2016","Dartmouth College","Chemistry","Total for selected values","Total for selected values","45",
"2016","Dartmouth College","Chemistry","First Time Students","Total for selected values","8",
"2016","Dartmouth College","Chemistry","First Time Students","Female","1",
"2016","Dartmouth College","Chemistry","First Time Students","Male","7",
"2016","Dartmouth College","Chemistry","Returning Students","Total for selected values","37",
"2016","Dartmouth College","Chemistry","Returning Students","Female","16",
"2016","Dartmouth College","Chemistry","Returning Students","Male","21",
"2016","Dartmouth College","Computer sciences","Total for selected values","Total for selected values","100",
"2016","Dartmouth College","Computer sciences","First Time Students","Total for selected values","24",
"2016","Dartmouth College","Computer sciences","First Time Students","Female","6",
"2016","Dartmouth College","Computer sciences","First Time Students","Male","18",
"2016","Dartmouth College","Computer sciences","Returning Students","Total for selected values","76",
"2016","Dartmouth College","Computer sciences","Returning Students","Female","24",
"2016","Dartmouth College","Computer sciences","Returning Students","Male","52",
"2016","Dartmouth College","Engineering not elsewhere classified","Total for selected values","Total for selected values","213",
"2016","Dartmouth College","Engineering not elsewhere classified","First Time Students","Total for selected values","85",
"2016","Dartmouth College","Engineering not elsewhere classified","First Time Students","Female","25",
"2016","Dartmouth College","Engineering not elsewhere classified","First Time Students","Male","60",
"2016","Dartmouth College","Engineering not elsewhere classified","Returning Students","Total for selected values","128",
"2016","Dartmouth College","Engineering not elsewhere classified","Returning Students","Female","36",
"2016","Dartmouth College","Engineering not elsewhere classified","Returning Students","Male","92",
"2016","Dartmouth College","Genetics","Total for selected values","Total for selected values","26",
"2016","Dartmouth College","Genetics","Returning Students","Total for selected values","26",
"2016","Dartmouth College","Genetics","Returning Students","Female","13",
"2016","Dartmouth College","Genetics","Returning Students","Male","13",
"2016","Dartmouth College","Geosciences","Total for selected values","Total for selected values","23",
"2016","Dartmouth College","Geosciences","First Time Students","Total for selected values","5",
"2016","Dartmouth College","Geosciences","First Time Students","Female","3",
"2016","Dartmouth College","Geosciences","First Time Students","Male","2",
"2016","Dartmouth College","Geosciences","Returning Students","Total for selected values","18",
"2016","Dartmouth College","Geosciences","Returning Students","Female","12",
"2016","Dartmouth College","Geosciences","Returning Students","Male","6",
"2016","Dartmouth College","Mathematics and applied mathematics","Total for selected values","Total for selected values","27",
"2016","Dartmouth College","Mathematics and applied mathematics","First Time Students","Total for selected values","7",
"2016","Dartmouth College","Mathematics and applied mathematics","First Time Students","Female","3",
"2016","Dartmouth College","Mathematics and applied mathematics","First Time Students","Male","4",
"2016","Dartmouth College","Mathematics and applied mathematics","Returning Students","Total for selected values","20",
"2016","Dartmouth College","Mathematics and applied mathematics","Returning Students","Female","7",
"2016","Dartmouth College","Mathematics and applied mathematics","Returning Students","Male","13",
"2016","Dartmouth College","Microbiology, immunology, and virology","Total for selected values","Total for selected values","54",
"2016","Dartmouth College","Microbiology, immunology, and virology","Returning Students","Total for selected values","54",
"2016","Dartmouth College","Microbiology, immunology, and virology","Returning Students","Female","31",
"2016","Dartmouth College","Microbiology, immunology, and virology","Returning Students","Male","23",
"2016","Dartmouth College","Multidisciplinary and interdisciplinary studies","Total for selected values","Total for selected values","22",
"2016","Dartmouth College","Multidisciplinary and interdisciplinary studies","First Time Students","Total for selected values","7",
"2016","Dartmouth College","Multidisciplinary and interdisciplinary studies","First Time Students","Female","4",
"2016","Dartmouth College","Multidisciplinary and interdisciplinary studies","First Time Students","Male","3",
"2016","Dartmouth College","Multidisciplinary and interdisciplinary studies","Returning Students","Total for selected values","15",
"2016","Dartmouth College","Multidisciplinary and interdisciplinary studies","Returning Students","Female","9",
"2016","Dartmouth College","Multidisciplinary and interdisciplinary studies","Returning Students","Male","6",
"2016","Dartmouth College","Neurobiology and neuroscience","Total for selected values","Total for selected values","45",
"2016","Dartmouth College","Neurobiology and neuroscience","First Time Students","Total for selected values","11",
"2016","Dartmouth College","Neurobiology and neuroscience","First Time Students","Female","7",
"2016","Dartmouth College","Neurobiology and neuroscience","First Time Students","Male","4",
"2016","Dartmouth College","Neurobiology and neuroscience","Returning Students","Total for selected values","34",
"2016","Dartmouth College","Neurobiology and neuroscience","Returning Students","Female","14",
"2016","Dartmouth College","Neurobiology and neuroscience","Returning Students","Male","20",
"2016","Dartmouth College","Other health not elsewhere classified","Total for selected values","Total for selected values","178",
"2016","Dartmouth College","Other health not elsewhere classified","First Time Students","Total for selected values","91",
"2016","Dartmouth College","Other health not elsewhere classified","First Time Students","Female","54",
"2016","Dartmouth College","Other health not elsewhere classified","First Time Students","Male","37",
"2016","Dartmouth College","Other health not elsewhere classified","Not collected","Total for selected values","30",
"2016","Dartmouth College","Other health not elsewhere classified","Not collected","Female","20",
"2016","Dartmouth College","Other health not elsewhere classified","Not collected","Male","10",
"2016","Dartmouth College","Other health not elsewhere classified","Returning Students","Total for selected values","57",
"2016","Dartmouth College","Other health not elsewhere classified","Returning Students","Female","22",
"2016","Dartmouth College","Other health not elsewhere classified","Returning Students","Male","35",
"2016","Dartmouth College","Physics","Total for selected values","Total for selected values","48",
"2016","Dartmouth College","Physics","First Time Students","Total for selected values","6",
"2016","Dartmouth College","Physics","First Time Students","Female","1",
"2016","Dartmouth College","Physics","First Time Students","Male","5",
"2016","Dartmouth College","Physics","Returning Students","Total for selected values","42",
"2016","Dartmouth College","Physics","Returning Students","Female","17",
"2016","Dartmouth College","Physics","Returning Students","Male","25",
"2016","Duke University","Total for selected values","Total for selected values","Total for selected values","2,555",
"2016","Duke University","Agricultural sciences","Total for selected values","Total for selected values","104",
"2016","Duke University","Agricultural sciences","First Time Students","Total for selected values","13",
"2016","Duke University","Agricultural sciences","First Time Students","Female","8",
"2016","Duke University","Agricultural sciences","First Time Students","Male","5",
"2016","Duke University","Agricultural sciences","Returning Students","Total for selected values","91",
"2016","Duke University","Agricultural sciences","Returning Students","Female","56",
"2016","Duke University","Agricultural sciences","Returning Students","Male","35",
"2016","Duke University","Anthropology","Total for selected values","Total for selected values","51",
"2016","Duke University","Anthropology","First Time Students","Total for selected values","6",
"2016","Duke University","Anthropology","First Time Students","Female","3",
"2016","Duke University","Anthropology","First Time Students","Male","3",
"2016","Duke University","Anthropology","Returning Students","Total for selected values","45",
"2016","Duke University","Anthropology","Returning Students","Female","21",
"2016","Duke University","Anthropology","Returning Students","Male","24",
"2016","Duke University","Biochemistry","Total for selected values","Total for selected values","51",
"2016","Duke University","Biochemistry","First Time Students","Total for selected values","10",
"2016","Duke University","Biochemistry","First Time Students","Female","3",
"2016","Duke University","Biochemistry","First Time Students","Male","7",
