Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Broad Fields]","[Race and Ethnicity]",
"2016","Total for selected values","Total for selected values","Total for selected values","6,498",
"2016","Columbia University in the City of New York","Total for selected values","Total for selected values","6,498",
"2016","Columbia University in the City of New York","Biological sciences","Total for selected values","790",
"2016","Columbia University in the City of New York","Biological sciences","Ethnicity and race unknown or not stated","12",
"2016","Columbia University in the City of New York","Biological sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","235",
"2016","Columbia University in the City of New York","Biological sciences","Hispanic or Latino ethnicity (one or more races)","35",
"2016","Columbia University in the City of New York","Biological sciences","Non-Hispanic, American Indian or Alaska Native","3",
"2016","Columbia University in the City of New York","Biological sciences","Non-Hispanic, Asian","123",
"2016","Columbia University in the City of New York","Biological sciences","Non-Hispanic, black or African American","31",
"2016","Columbia University in the City of New York","Biological sciences","Non-Hispanic, more than one race","11",
"2016","Columbia University in the City of New York","Biological sciences","Non-Hispanic, Native Hawaiian or Other Pacific Islander","2",
"2016","Columbia University in the City of New York","Biological sciences","Non-Hispanic, white","338",
"2016","Columbia University in the City of New York","Clinical medicine","Total for selected values","68",
"2016","Columbia University in the City of New York","Clinical medicine","Foreign nationals holding temporary visas, regardless of ethnicity or race","16",
"2016","Columbia University in the City of New York","Clinical medicine","Hispanic or Latino ethnicity (one or more races)","9",
"2016","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, American Indian or Alaska Native","3",
"2016","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, Asian","8",
"2016","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, black or African American","5",
"2016","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, white","27",
"2016","Columbia University in the City of New York","Computer sciences","Total for selected values","562",
"2016","Columbia University in the City of New York","Computer sciences","Ethnicity and race unknown or not stated","27",
"2016","Columbia University in the City of New York","Computer sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","398",
"2016","Columbia University in the City of New York","Computer sciences","Hispanic or Latino ethnicity (one or more races)","12",
"2016","Columbia University in the City of New York","Computer sciences","Non-Hispanic, Asian","54",
