Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Broad Fields]","[Sex]",
"2016","Total for selected values","Total for selected values","Total for selected values","6,498",
"2016","Columbia University in the City of New York","Total for selected values","Total for selected values","6,498",
"2016","Columbia University in the City of New York","Biological sciences","Total for selected values","790",
"2016","Columbia University in the City of New York","Biological sciences","Female","460",
"2016","Columbia University in the City of New York","Biological sciences","Male","330",
"2016","Columbia University in the City of New York","Clinical medicine","Total for selected values","68",
"2016","Columbia University in the City of New York","Clinical medicine","Female","58",
"2016","Columbia University in the City of New York","Clinical medicine","Male","10",
"2016","Columbia University in the City of New York","Computer sciences","Total for selected values","562",
"2016","Columbia University in the City of New York","Computer sciences","Female","125",
"2016","Columbia University in the City of New York","Computer sciences","Male","437",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","252",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Female","135",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Male","117",
"2016","Columbia University in the City of New York","Engineering","Total for selected values","2,889",
"2016","Columbia University in the City of New York","Engineering","Female","929",
"2016","Columbia University in the City of New York","Engineering","Male","1,960",
"2016","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","831",
"2016","Columbia University in the City of New York","Mathematics and statistics","Female","401",
"2016","Columbia University in the City of New York","Mathematics and statistics","Male","430",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","102",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Female","49",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Male","53",
"2016","Columbia University in the City of New York","Other health","Total for selected values","22",
"2016","Columbia University in the City of New York","Other health","Female","20",
"2016","Columbia University in the City of New York","Other health","Male","2",
"2016","Columbia University in the City of New York","Physical sciences","Total for selected values","262",
"2016","Columbia University in the City of New York","Physical sciences","Female","76",
"2016","Columbia University in the City of New York","Physical sciences","Male","186",
"2016","Columbia University in the City of New York","Psychology","Total for selected values","35",
"2016","Columbia University in the City of New York","Psychology","Female","22",
"2016","Columbia University in the City of New York","Psychology","Male","13",
"2016","Columbia University in the City of New York","Social sciences","Total for selected values","685",
"2016","Columbia University in the City of New York","Social sciences","Female","353",
"2016","Columbia University in the City of New York","Social sciences","Male","332",
"2015","Total for selected values","Total for selected values","Total for selected values","6,194",
"2015","Columbia University in the City of New York","Total for selected values","Total for selected values","6,194",
"2015","Columbia University in the City of New York","Biological sciences","Total for selected values","739",
"2015","Columbia University in the City of New York","Biological sciences","Female","420",
"2015","Columbia University in the City of New York","Biological sciences","Male","319",
"2015","Columbia University in the City of New York","Clinical medicine","Total for selected values","73",
"2015","Columbia University in the City of New York","Clinical medicine","Female","62",
"2015","Columbia University in the City of New York","Clinical medicine","Male","11",
"2015","Columbia University in the City of New York","Computer sciences","Total for selected values","666",
"2015","Columbia University in the City of New York","Computer sciences","Female","198",
"2015","Columbia University in the City of New York","Computer sciences","Male","468",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","269",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Female","143",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Male","126",
"2015","Columbia University in the City of New York","Engineering","Total for selected values","2,581",
"2015","Columbia University in the City of New York","Engineering","Female","770",
"2015","Columbia University in the City of New York","Engineering","Male","1,811",
"2015","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","840",
"2015","Columbia University in the City of New York","Mathematics and statistics","Female","392",
"2015","Columbia University in the City of New York","Mathematics and statistics","Male","448",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","95",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Female","47",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Male","48",
"2015","Columbia University in the City of New York","Other health","Total for selected values","26",
"2015","Columbia University in the City of New York","Other health","Female","23",
"2015","Columbia University in the City of New York","Other health","Male","3",
"2015","Columbia University in the City of New York","Physical sciences","Total for selected values","248",
"2015","Columbia University in the City of New York","Physical sciences","Female","72",
"2015","Columbia University in the City of New York","Physical sciences","Male","176",
"2015","Columbia University in the City of New York","Psychology","Total for selected values","38",
"2015","Columbia University in the City of New York","Psychology","Female","21",
"2015","Columbia University in the City of New York","Psychology","Male","17",
"2015","Columbia University in the City of New York","Social sciences","Total for selected values","619",
"2015","Columbia University in the City of New York","Social sciences","Female","324",
"2015","Columbia University in the City of New York","Social sciences","Male","295",
"2014","Total for selected values","Total for selected values","Total for selected values","5,718",
"2014","Columbia University in the City of New York","Total for selected values","Total for selected values","5,718",
"2014","Columbia University in the City of New York","Biological sciences","Total for selected values","760",
"2014","Columbia University in the City of New York","Biological sciences","Female","443",
"2014","Columbia University in the City of New York","Biological sciences","Male","317",
"2014","Columbia University in the City of New York","Clinical medicine","Total for selected values","74",
"2014","Columbia University in the City of New York","Clinical medicine","Female","65",
"2014","Columbia University in the City of New York","Clinical medicine","Male","9",
"2014","Columbia University in the City of New York","Computer sciences","Total for selected values","592",
"2014","Columbia University in the City of New York","Computer sciences","Female","157",
"2014","Columbia University in the City of New York","Computer sciences","Male","435",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","217",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Female","113",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Male","104",
"2014","Columbia University in the City of New York","Engineering","Total for selected values","2,229",
"2014","Columbia University in the City of New York","Engineering","Female","658",
"2014","Columbia University in the City of New York","Engineering","Male","1,571",
"2014","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","781",
"2014","Columbia University in the City of New York","Mathematics and statistics","Female","338",
"2014","Columbia University in the City of New York","Mathematics and statistics","Male","443",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","86",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Female","41",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Male","45",
"2014","Columbia University in the City of New York","Other health","Total for selected values","30",
"2014","Columbia University in the City of New York","Other health","Female","27",
"2014","Columbia University in the City of New York","Other health","Male","3",
"2014","Columbia University in the City of New York","Physical sciences","Total for selected values","256",
"2014","Columbia University in the City of New York","Physical sciences","Female","78",
"2014","Columbia University in the City of New York","Physical sciences","Male","178",
"2014","Columbia University in the City of New York","Psychology","Total for selected values","34",
"2014","Columbia University in the City of New York","Psychology","Female","20",
"2014","Columbia University in the City of New York","Psychology","Male","14",
"2014","Columbia University in the City of New York","Social sciences","Total for selected values","659",
"2014","Columbia University in the City of New York","Social sciences","Female","338",
"2014","Columbia University in the City of New York","Social sciences","Male","321",
"2013","Total for selected values","Total for selected values","Total for selected values","5,174",
"2013","Columbia University in the City of New York","Total for selected values","Total for selected values","5,174",
"2013","Columbia University in the City of New York","Biological sciences","Total for selected values","700",
"2013","Columbia University in the City of New York","Biological sciences","Female","413",
"2013","Columbia University in the City of New York","Biological sciences","Male","287",
"2013","Columbia University in the City of New York","Clinical medicine","Total for selected values","73",
"2013","Columbia University in the City of New York","Clinical medicine","Female","63",
"2013","Columbia University in the City of New York","Clinical medicine","Male","10",
"2013","Columbia University in the City of New York","Computer sciences","Total for selected values","524",
"2013","Columbia University in the City of New York","Computer sciences","Female","132",
"2013","Columbia University in the City of New York","Computer sciences","Male","392",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","212",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Female","105",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Male","107",
"2013","Columbia University in the City of New York","Engineering","Total for selected values","1,965",
"2013","Columbia University in the City of New York","Engineering","Female","589",
"2013","Columbia University in the City of New York","Engineering","Male","1,376",
"2013","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","608",
"2013","Columbia University in the City of New York","Mathematics and statistics","Female","256",
"2013","Columbia University in the City of New York","Mathematics and statistics","Male","352",
"2013","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","84",
"2013","Columbia University in the City of New York","Neurobiology and neuroscience","Female","37",
"2013","Columbia University in the City of New York","Neurobiology and neuroscience","Male","47",
"2013","Columbia University in the City of New York","Other health","Total for selected values","27",
"2013","Columbia University in the City of New York","Other health","Female","23",
"2013","Columbia University in the City of New York","Other health","Male","4",
"2013","Columbia University in the City of New York","Physical sciences","Total for selected values","262",
"2013","Columbia University in the City of New York","Physical sciences","Female","78",
"2013","Columbia University in the City of New York","Physical sciences","Male","184",
"2013","Columbia University in the City of New York","Psychology","Total for selected values","33",
"2013","Columbia University in the City of New York","Psychology","Female","20",
"2013","Columbia University in the City of New York","Psychology","Male","13",
"2013","Columbia University in the City of New York","Social sciences","Total for selected values","686",
"2013","Columbia University in the City of New York","Social sciences","Female","355",
"2013","Columbia University in the City of New York","Social sciences","Male","331",
"2012","Total for selected values","Total for selected values","Total for selected values","5,090",
"2012","Columbia University in the City of New York","Total for selected values","Total for selected values","5,090",
"2012","Columbia University in the City of New York","Biological sciences","Total for selected values","674",
"2012","Columbia University in the City of New York","Biological sciences","Female","380",
"2012","Columbia University in the City of New York","Biological sciences","Male","294",
"2012","Columbia University in the City of New York","Clinical medicine","Total for selected values","78",
"2012","Columbia University in the City of New York","Clinical medicine","Female","63",
"2012","Columbia University in the City of New York","Clinical medicine","Male","15",
"2012","Columbia University in the City of New York","Computer sciences","Total for selected values","467",
"2012","Columbia University in the City of New York","Computer sciences","Female","115",
"2012","Columbia University in the City of New York","Computer sciences","Male","352",
"2012","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","221",
"2012","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Female","114",
"2012","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Male","107",
"2012","Columbia University in the City of New York","Engineering","Total for selected values","2,024",
"2012","Columbia University in the City of New York","Engineering","Female","547",
"2012","Columbia University in the City of New York","Engineering","Male","1,477",
"2012","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","514",
"2012","Columbia University in the City of New York","Mathematics and statistics","Female","191",
"2012","Columbia University in the City of New York","Mathematics and statistics","Male","323",
"2012","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","83",
"2012","Columbia University in the City of New York","Neurobiology and neuroscience","Female","36",
"2012","Columbia University in the City of New York","Neurobiology and neuroscience","Male","47",
"2012","Columbia University in the City of New York","Other health","Total for selected values","24",
"2012","Columbia University in the City of New York","Other health","Female","20",
"2012","Columbia University in the City of New York","Other health","Male","4",
"2012","Columbia University in the City of New York","Physical sciences","Total for selected values","266",
"2012","Columbia University in the City of New York","Physical sciences","Female","91",
"2012","Columbia University in the City of New York","Physical sciences","Male","175",
"2012","Columbia University in the City of New York","Psychology","Total for selected values","34",
"2012","Columbia University in the City of New York","Psychology","Female","22",
"2012","Columbia University in the City of New York","Psychology","Male","12",
"2012","Columbia University in the City of New York","Social sciences","Total for selected values","705",
"2012","Columbia University in the City of New York","Social sciences","Female","380",
"2012","Columbia University in the City of New York","Social sciences","Male","325",
"2011","Total for selected values","Total for selected values","Total for selected values","4,704",
"2011","Columbia University in the City of New York","Total for selected values","Total for selected values","4,704",
"2011","Columbia University in the City of New York","Biological sciences","Total for selected values","741",
"2011","Columbia University in the City of New York","Biological sciences","Female","413",
"2011","Columbia University in the City of New York","Biological sciences","Male","328",
"2011","Columbia University in the City of New York","Clinical medicine","Total for selected values","95",
"2011","Columbia University in the City of New York","Clinical medicine","Female","66",
"2011","Columbia University in the City of New York","Clinical medicine","Male","29",
"2011","Columbia University in the City of New York","Computer sciences","Total for selected values","452",
"2011","Columbia University in the City of New York","Computer sciences","Female","91",
"2011","Columbia University in the City of New York","Computer sciences","Male","361",
"2011","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","183",
"2011","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Female","90",
"2011","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Male","93",
"2011","Columbia University in the City of New York","Engineering","Total for selected values","1,774",
"2011","Columbia University in the City of New York","Engineering","Female","463",
"2011","Columbia University in the City of New York","Engineering","Male","1,311",
"2011","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","470",
"2011","Columbia University in the City of New York","Mathematics and statistics","Female","193",
"2011","Columbia University in the City of New York","Mathematics and statistics","Male","277",
