Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
S&E Fields,Health,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[S&E Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2016,Total for selected values,Total for selected values,Total for selected values,"1,411"
2016,Brown University,Total for selected values,Total for selected values,127
2016,Brown University,Health,Total for selected values,127
2016,Brown University,Health,Female,100
2016,Brown University,Health,Male,27
2016,Columbia University in the City of New York,Total for selected values,Total for selected values,90
2016,Columbia University in the City of New York,Health,Total for selected values,90
2016,Columbia University in the City of New York,Health,Female,78
2016,Columbia University in the City of New York,Health,Male,12
2016,Cornell University,Total for selected values,Total for selected values,143
2016,Cornell University,Health,Total for selected values,143
2016,Cornell University,Health,Female,78
2016,Cornell University,Health,Male,65
2016,Dartmouth College,Total for selected values,Total for selected values,178
2016,Dartmouth College,Health,Total for selected values,178
2016,Dartmouth College,Health,Female,96
2016,Dartmouth College,Health,Male,82
2016,Duke University,Total for selected values,Total for selected values,171
2016,Duke University,Health,Total for selected values,171
2016,Duke University,Health,Female,112
2016,Duke University,Health,Male,59
2016,Harvard University,Total for selected values,Total for selected values,502
2016,Harvard University,Health,Total for selected values,502
2016,Harvard University,Health,Female,316
2016,Harvard University,Health,Male,186
2016,Stanford University,Total for selected values,Total for selected values,9
2016,Stanford University,Health,Total for selected values,9
2016,Stanford University,Health,Female,4
2016,Stanford University,Health,Male,5
2016,University of Pennsylvania,Total for selected values,Total for selected values,179
2016,University of Pennsylvania,Health,Total for selected values,179
2016,University of Pennsylvania,Health,Female,139
2016,University of Pennsylvania,Health,Male,40
2016,Yale University,Total for selected values,Total for selected values,12
2016,Yale University,Health,Total for selected values,12
2016,Yale University,Health,Female,11
2016,Yale University,Health,Male,1
2015,Total for selected values,Total for selected values,Total for selected values,"1,459"
2015,Brown University,Total for selected values,Total for selected values,108
2015,Brown University,Health,Total for selected values,108
2015,Brown University,Health,Female,86
2015,Brown University,Health,Male,22
2015,Columbia University in the City of New York,Total for selected values,Total for selected values,99
2015,Columbia University in the City of New York,Health,Total for selected values,99
2015,Columbia University in the City of New York,Health,Female,85
2015,Columbia University in the City of New York,Health,Male,14
2015,Cornell University,Total for selected values,Total for selected values,128
2015,Cornell University,Health,Total for selected values,128
2015,Cornell University,Health,Female,75
2015,Cornell University,Health,Male,53
2015,Dartmouth College,Total for selected values,Total for selected values,175
2015,Dartmouth College,Health,Total for selected values,175
2015,Dartmouth College,Health,Female,82
2015,Dartmouth College,Health,Male,93
2015,Duke University,Total for selected values,Total for selected values,153
2015,Duke University,Health,Total for selected values,153
2015,Duke University,Health,Female,94
2015,Duke University,Health,Male,59
2015,Harvard University,Total for selected values,Total for selected values,573
2015,Harvard University,Health,Total for selected values,573
2015,Harvard University,Health,Female,342
2015,Harvard University,Health,Male,231
2015,Stanford University,Total for selected values,Total for selected values,50
2015,Stanford University,Health,Total for selected values,50
2015,Stanford University,Health,Female,23
2015,Stanford University,Health,Male,27
2015,University of Pennsylvania,Total for selected values,Total for selected values,160
2015,University of Pennsylvania,Health,Total for selected values,160
2015,University of Pennsylvania,Health,Female,133
2015,University of Pennsylvania,Health,Male,27
2015,Yale University,Total for selected values,Total for selected values,13
2015,Yale University,Health,Total for selected values,13
2015,Yale University,Health,Female,12
2015,Yale University,Health,Male,1
2014,Total for selected values,Total for selected values,Total for selected values,"1,275"
2014,Brown University,Total for selected values,Total for selected values,108
2014,Brown University,Health,Total for selected values,108
2014,Brown University,Health,Female,85
2014,Brown University,Health,Male,23
2014,Columbia University in the City of New York,Total for selected values,Total for selected values,104
2014,Columbia University in the City of New York,Health,Total for selected values,104
2014,Columbia University in the City of New York,Health,Female,92
2014,Columbia University in the City of New York,Health,Male,12
2014,Cornell University,Total for selected values,Total for selected values,96
2014,Cornell University,Health,Total for selected values,96
2014,Cornell University,Health,Female,66
2014,Cornell University,Health,Male,30
2014,Dartmouth College,Total for selected values,Total for selected values,170
2014,Dartmouth College,Health,Total for selected values,170
2014,Dartmouth College,Health,Female,78
2014,Dartmouth College,Health,Male,92
2014,Duke University,Total for selected values,Total for selected values,86
2014,Duke University,Health,Total for selected values,86
2014,Duke University,Health,Female,41
2014,Duke University,Health,Male,45
2014,Harvard University,Total for selected values,Total for selected values,540
2014,Harvard University,Health,Total for selected values,540
2014,Harvard University,Health,Female,342
2014,Harvard University,Health,Male,198
2014,Stanford University,Total for selected values,Total for selected values,21
2014,Stanford University,Health,Total for selected values,21
2014,Stanford University,Health,Female,10
2014,Stanford University,Health,Male,11
2014,University of Pennsylvania,Total for selected values,Total for selected values,135
2014,University of Pennsylvania,Health,Total for selected values,135
2014,University of Pennsylvania,Health,Female,108
2014,University of Pennsylvania,Health,Male,27
2014,Yale University,Total for selected values,Total for selected values,15
2014,Yale University,Health,Total for selected values,15
2014,Yale University,Health,Female,14
2014,Yale University,Health,Male,1
2013,Total for selected values,Total for selected values,Total for selected values,"1,307"
2013,Brown University,Total for selected values,Total for selected values,102
2013,Brown University,Health,Total for selected values,102
2013,Brown University,Health,Female,75
2013,Brown University,Health,Male,27
2013,Columbia University in the City of New York,Total for selected values,Total for selected values,100
2013,Columbia University in the City of New York,Health,Total for selected values,100
2013,Columbia University in the City of New York,Health,Female,86
2013,Columbia University in the City of New York,Health,Male,14
2013,Cornell University,Total for selected values,Total for selected values,123
2013,Cornell University,Health,Total for selected values,123
2013,Cornell University,Health,Female,74
2013,Cornell University,Health,Male,49
2013,Dartmouth College,Total for selected values,Total for selected values,181
2013,Dartmouth College,Health,Total for selected values,181
2013,Dartmouth College,Health,Female,92
2013,Dartmouth College,Health,Male,89
2013,Duke University,Total for selected values,Total for selected values,83
2013,Duke University,Health,Total for selected values,83
2013,Duke University,Health,Female,39
2013,Duke University,Health,Male,44
2013,Harvard University,Total for selected values,Total for selected values,587
2013,Harvard University,Health,Total for selected values,587
2013,Harvard University,Health,Female,365
2013,Harvard University,Health,Male,222
2013,Stanford University,Total for selected values,Total for selected values,18
2013,Stanford University,Health,Total for selected values,18
2013,Stanford University,Health,Female,8
2013,Stanford University,Health,Male,10
2013,University of Pennsylvania,Total for selected values,Total for selected values,93
2013,University of Pennsylvania,Health,Total for selected values,93
2013,University of Pennsylvania,Health,Female,72
2013,University of Pennsylvania,Health,Male,21
2013,Yale University,Total for selected values,Total for selected values,20
2013,Yale University,Health,Total for selected values,20
2013,Yale University,Health,Female,19
2013,Yale University,Health,Male,1
2012,Total for selected values,Total for selected values,Total for selected values,"1,039"
2012,Columbia University in the City of New York,Total for selected values,Total for selected values,102
2012,Columbia University in the City of New York,Health,Total for selected values,102
2012,Columbia University in the City of New York,Health,Female,83
2012,Columbia University in the City of New York,Health,Male,19
2012,Cornell University,Total for selected values,Total for selected values,163
2012,Cornell University,Health,Total for selected values,163
2012,Cornell University,Health,Female,102
2012,Cornell University,Health,Male,61
2012,Dartmouth College,Total for selected values,Total for selected values,183
2012,Dartmouth College,Health,Total for selected values,183
2012,Dartmouth College,Health,Female,96
2012,Dartmouth College,Health,Male,87
2012,Duke University,Total for selected values,Total for selected values,76
2012,Duke University,Health,Total for selected values,76
2012,Duke University,Health,Female,40
2012,Duke University,Health,Male,36
