Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Enrollment Status","Full Time"
"Institution Name","12 of 1070"
"SEH Fields","Science, Engineering"
"First-Time Students","First Time Students"

,,,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[SEH Fields]","[Broad Fields]","[First-Time Students]","[Enrollment Status]","[Sex]",
"2016","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","11,036",
"2016","Brown University","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","461",
"2016","Brown University","Science","Total for selected values","Total for selected values","Total for selected values","Total for selected values","376",
"2016","Brown University","Science","Biological sciences","Total for selected values","Total for selected values","Total for selected values","87",
"2016","Brown University","Science","Biological sciences","First Time Students","Total for selected values","Total for selected values","87",
"2016","Brown University","Science","Biological sciences","First Time Students","Full Time","Total for selected values","87",
"2016","Brown University","Science","Biological sciences","First Time Students","Full Time","Female","47",
"2016","Brown University","Science","Biological sciences","First Time Students","Full Time","Male","40",
"2016","Brown University","Science","Communication","Total for selected values","Total for selected values","Total for selected values","1",
"2016","Brown University","Science","Communication","First Time Students","Total for selected values","Total for selected values","1",
"2016","Brown University","Science","Communication","First Time Students","Full Time","Total for selected values","1",
"2016","Brown University","Science","Communication","First Time Students","Full Time","Female","1",
"2016","Brown University","Science","Computer sciences","Total for selected values","Total for selected values","Total for selected values","51",
"2016","Brown University","Science","Computer sciences","First Time Students","Total for selected values","Total for selected values","51",
"2016","Brown University","Science","Computer sciences","First Time Students","Full Time","Total for selected values","51",
"2016","Brown University","Science","Computer sciences","First Time Students","Full Time","Female","16",
"2016","Brown University","Science","Computer sciences","First Time Students","Full Time","Male","35",
"2016","Brown University","Science","Earth, atmospheric, and ocean sciences","Total for selected values","Total for selected values","Total for selected values","16",
"2016","Brown University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Total for selected values","Total for selected values","16",
"2016","Brown University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Total for selected values","16",
"2016","Brown University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Female","6",
"2016","Brown University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Male","10",
"2016","Brown University","Science","Mathematics and statistics","Total for selected values","Total for selected values","Total for selected values","13",
"2016","Brown University","Science","Mathematics and statistics","First Time Students","Total for selected values","Total for selected values","13",
"2016","Brown University","Science","Mathematics and statistics","First Time Students","Full Time","Total for selected values","13",
"2016","Brown University","Science","Mathematics and statistics","First Time Students","Full Time","Female","2",
"2016","Brown University","Science","Mathematics and statistics","First Time Students","Full Time","Male","11",
"2016","Brown University","Science","Multidisciplinary and interdisciplinary studies","Total for selected values","Total for selected values","Total for selected values","14",
"2016","Brown University","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Total for selected values","Total for selected values","14",
"2016","Brown University","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Full Time","Total for selected values","14",
"2016","Brown University","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Full Time","Female","5",
"2016","Brown University","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Full Time","Male","9",
"2016","Brown University","Science","Neurobiology and neuroscience","Total for selected values","Total for selected values","Total for selected values","13",
"2016","Brown University","Science","Neurobiology and neuroscience","First Time Students","Total for selected values","Total for selected values","13",
"2016","Brown University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Total for selected values","13",
"2016","Brown University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Female","10",
"2016","Brown University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Male","3",
"2016","Brown University","Science","Physical sciences","Total for selected values","Total for selected values","Total for selected values","57",
"2016","Brown University","Science","Physical sciences","First Time Students","Total for selected values","Total for selected values","57",
"2016","Brown University","Science","Physical sciences","First Time Students","Full Time","Total for selected values","57",
"2016","Brown University","Science","Physical sciences","First Time Students","Full Time","Female","19",
"2016","Brown University","Science","Physical sciences","First Time Students","Full Time","Male","38",
"2016","Brown University","Science","Psychology","Total for selected values","Total for selected values","Total for selected values","14",
"2016","Brown University","Science","Psychology","First Time Students","Total for selected values","Total for selected values","14",
"2016","Brown University","Science","Psychology","First Time Students","Full Time","Total for selected values","14",
"2016","Brown University","Science","Psychology","First Time Students","Full Time","Female","6",
"2016","Brown University","Science","Psychology","First Time Students","Full Time","Male","8",
"2016","Brown University","Science","Social sciences","Total for selected values","Total for selected values","Total for selected values","110",
"2016","Brown University","Science","Social sciences","First Time Students","Total for selected values","Total for selected values","110",
"2016","Brown University","Science","Social sciences","First Time Students","Full Time","Total for selected values","110",
"2016","Brown University","Science","Social sciences","First Time Students","Full Time","Female","60",
"2016","Brown University","Science","Social sciences","First Time Students","Full Time","Male","50",
"2016","Brown University","Engineering","Total for selected values","Total for selected values","Total for selected values","Total for selected values","85",
"2016","Brown University","Engineering","Engineering","Total for selected values","Total for selected values","Total for selected values","85",
"2016","Brown University","Engineering","Engineering","First Time Students","Total for selected values","Total for selected values","85",
"2016","Brown University","Engineering","Engineering","First Time Students","Full Time","Total for selected values","85",
"2016","Brown University","Engineering","Engineering","First Time Students","Full Time","Female","27",
"2016","Brown University","Engineering","Engineering","First Time Students","Full Time","Male","58",
"2016","Columbia University in the City of New York","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","2,280",
"2016","Columbia University in the City of New York","Science","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,194",
"2016","Columbia University in the City of New York","Science","Biological sciences","Total for selected values","Total for selected values","Total for selected values","195",
"2016","Columbia University in the City of New York","Science","Biological sciences","First Time Students","Total for selected values","Total for selected values","195",
