Data Download from NCSES Interactive Data Tool,,,,,
,,,,,
Filters,Selected values,,,,
Institution Name,12 of 1070,,,,
SEH Fields,"Science, Engineering",,,,
,,,,,
,,,,<measures>,
[Year],[Institution Name],[SEH Fields],[Detailed Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2016,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"39,115"
2016,Brown University,Total for selected values,Total for selected values,Total for selected values,"1,618"
2016,Brown University,Science,Total for selected values,Total for selected values,"1,360"
2016,Brown University,Science,Anthropology,Total for selected values,55
2016,Brown University,Science,Anthropology,Female,37
2016,Brown University,Science,Anthropology,Male,18
2016,Brown University,Science,Biology,Total for selected values,192
2016,Brown University,Science,Biology,Female,110
2016,Brown University,Science,Biology,Male,82
2016,Brown University,Science,Biometry and epidemiology,Total for selected values,80
2016,Brown University,Science,Biometry and epidemiology,Female,54
2016,Brown University,Science,Biometry and epidemiology,Male,26
2016,Brown University,Science,Chemistry,Total for selected values,70
2016,Brown University,Science,Chemistry,Female,30
2016,Brown University,Science,Chemistry,Male,40
2016,Brown University,Science,Communication,Total for selected values,16
2016,Brown University,Science,Communication,Female,6
2016,Brown University,Science,Communication,Male,10
2016,Brown University,Science,Computer sciences,Total for selected values,159
2016,Brown University,Science,Computer sciences,Female,39
2016,Brown University,Science,Computer sciences,Male,120
2016,Brown University,Science,Economics (except agricultural),Total for selected values,89
2016,Brown University,Science,Economics (except agricultural),Female,24
2016,Brown University,Science,Economics (except agricultural),Male,65
2016,Brown University,Science,Geosciences,Total for selected values,54
2016,Brown University,Science,Geosciences,Female,24
2016,Brown University,Science,Geosciences,Male,30
2016,Brown University,Science,Mathematics and applied mathematics,Total for selected values,105
2016,Brown University,Science,Mathematics and applied mathematics,Female,33
2016,Brown University,Science,Mathematics and applied mathematics,Male,72
2016,Brown University,Science,Multidisciplinary and interdisciplinary studies,Total for selected values,30
2016,Brown University,Science,Multidisciplinary and interdisciplinary studies,Female,16
2016,Brown University,Science,Multidisciplinary and interdisciplinary studies,Male,14
2016,Brown University,Science,Neurobiology and neuroscience,Total for selected values,64
2016,Brown University,Science,Neurobiology and neuroscience,Female,38
2016,Brown University,Science,Neurobiology and neuroscience,Male,26
2016,Brown University,Science,Physics,Total for selected values,119
2016,Brown University,Science,Physics,Female,23
2016,Brown University,Science,Physics,Male,96
2016,Brown University,Science,Political science and government,Total for selected values,81
2016,Brown University,Science,Political science and government,Female,39
2016,Brown University,Science,Political science and government,Male,42
2016,Brown University,Science,Psychology not elsewhere classified,Total for selected values,44
2016,Brown University,Science,Psychology not elsewhere classified,Female,20
2016,Brown University,Science,Psychology not elsewhere classified,Male,24
2016,Brown University,Science,Social sciences not elsewhere classified,Total for selected values,154
2016,Brown University,Science,Social sciences not elsewhere classified,Female,101
2016,Brown University,Science,Social sciences not elsewhere classified,Male,53
2016,Brown University,Science,Sociology,Total for selected values,48
2016,Brown University,Science,Sociology,Female,32
2016,Brown University,Science,Sociology,Male,16
2016,Brown University,Engineering,Total for selected values,Total for selected values,258
2016,Brown University,Engineering,Biomedical engineering,Total for selected values,68
2016,Brown University,Engineering,Biomedical engineering,Female,26
2016,Brown University,Engineering,Biomedical engineering,Male,42
2016,Brown University,Engineering,Engineering not elsewhere classified,Total for selected values,190
2016,Brown University,Engineering,Engineering not elsewhere classified,Female,55
2016,Brown University,Engineering,Engineering not elsewhere classified,Male,135
