Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Enrollment Status","Full Time"
"Institution Name","12 of 1070"
"SEH Fields","Science, Engineering"
"First-Time Students","First Time Students"

,,,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[SEH Fields]","[Detailed Fields]","[First-Time Students]","[Enrollment Status]","[Sex]",
"2016","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","11,036",
"2016","Brown University","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","461",
"2016","Brown University","Science","Total for selected values","Total for selected values","Total for selected values","Total for selected values","376",
"2016","Brown University","Science","Anthropology","Total for selected values","Total for selected values","Total for selected values","10",
"2016","Brown University","Science","Anthropology","First Time Students","Total for selected values","Total for selected values","10",
"2016","Brown University","Science","Anthropology","First Time Students","Full Time","Total for selected values","10",
"2016","Brown University","Science","Anthropology","First Time Students","Full Time","Female","5",
"2016","Brown University","Science","Anthropology","First Time Students","Full Time","Male","5",
"2016","Brown University","Science","Biology","Total for selected values","Total for selected values","Total for selected values","58",
"2016","Brown University","Science","Biology","First Time Students","Total for selected values","Total for selected values","58",
"2016","Brown University","Science","Biology","First Time Students","Full Time","Total for selected values","58",
"2016","Brown University","Science","Biology","First Time Students","Full Time","Female","33",
"2016","Brown University","Science","Biology","First Time Students","Full Time","Male","25",
"2016","Brown University","Science","Biometry and epidemiology","Total for selected values","Total for selected values","Total for selected values","29",
"2016","Brown University","Science","Biometry and epidemiology","First Time Students","Total for selected values","Total for selected values","29",
"2016","Brown University","Science","Biometry and epidemiology","First Time Students","Full Time","Total for selected values","29",
"2016","Brown University","Science","Biometry and epidemiology","First Time Students","Full Time","Female","14",
"2016","Brown University","Science","Biometry and epidemiology","First Time Students","Full Time","Male","15",
"2016","Brown University","Science","Chemistry","Total for selected values","Total for selected values","Total for selected values","19",
"2016","Brown University","Science","Chemistry","First Time Students","Total for selected values","Total for selected values","19",
"2016","Brown University","Science","Chemistry","First Time Students","Full Time","Total for selected values","19",
"2016","Brown University","Science","Chemistry","First Time Students","Full Time","Female","9",
"2016","Brown University","Science","Chemistry","First Time Students","Full Time","Male","10",
"2016","Brown University","Science","Communication","Total for selected values","Total for selected values","Total for selected values","1",
"2016","Brown University","Science","Communication","First Time Students","Total for selected values","Total for selected values","1",
"2016","Brown University","Science","Communication","First Time Students","Full Time","Total for selected values","1",
"2016","Brown University","Science","Communication","First Time Students","Full Time","Female","1",
"2016","Brown University","Science","Computer sciences","Total for selected values","Total for selected values","Total for selected values","51",
"2016","Brown University","Science","Computer sciences","First Time Students","Total for selected values","Total for selected values","51",
"2016","Brown University","Science","Computer sciences","First Time Students","Full Time","Total for selected values","51",
"2016","Brown University","Science","Computer sciences","First Time Students","Full Time","Female","16",
"2016","Brown University","Science","Computer sciences","First Time Students","Full Time","Male","35",
"2016","Brown University","Science","Economics (except agricultural)","Total for selected values","Total for selected values","Total for selected values","17",
"2016","Brown University","Science","Economics (except agricultural)","First Time Students","Total for selected values","Total for selected values","17",
"2016","Brown University","Science","Economics (except agricultural)","First Time Students","Full Time","Total for selected values","17",
"2016","Brown University","Science","Economics (except agricultural)","First Time Students","Full Time","Female","2",
"2016","Brown University","Science","Economics (except agricultural)","First Time Students","Full Time","Male","15",
"2016","Brown University","Science","Geosciences","Total for selected values","Total for selected values","Total for selected values","16",
"2016","Brown University","Science","Geosciences","First Time Students","Total for selected values","Total for selected values","16",
"2016","Brown University","Science","Geosciences","First Time Students","Full Time","Total for selected values","16",
"2016","Brown University","Science","Geosciences","First Time Students","Full Time","Female","6",
"2016","Brown University","Science","Geosciences","First Time Students","Full Time","Male","10",
"2016","Brown University","Science","Mathematics and applied mathematics","Total for selected values","Total for selected values","Total for selected values","13",
