Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[SEH Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2016,Total for selected values,Total for selected values,Total for selected values,"40,526"
2016,Brown University,Total for selected values,Total for selected values,"1,745"
2016,Brown University,Science,Total for selected values,"1,360"
2016,Brown University,Science,Female,626
2016,Brown University,Science,Male,734
2016,Brown University,Engineering,Total for selected values,258
2016,Brown University,Engineering,Female,81
2016,Brown University,Engineering,Male,177
2016,Brown University,Health,Total for selected values,127
2016,Brown University,Health,Female,100
2016,Brown University,Health,Male,27
2016,Columbia University in the City of New York,Total for selected values,Total for selected values,"6,498"
2016,Columbia University in the City of New York,Science,Total for selected values,"3,519"
2016,Columbia University in the City of New York,Science,Female,"1,621"
2016,Columbia University in the City of New York,Science,Male,"1,898"
2016,Columbia University in the City of New York,Engineering,Total for selected values,"2,889"
2016,Columbia University in the City of New York,Engineering,Female,929
2016,Columbia University in the City of New York,Engineering,Male,"1,960"
2016,Columbia University in the City of New York,Health,Total for selected values,90
2016,Columbia University in the City of New York,Health,Female,78
2016,Columbia University in the City of New York,Health,Male,12
2016,Cornell University,Total for selected values,Total for selected values,"5,163"
2016,Cornell University,Science,Total for selected values,"3,363"
2016,Cornell University,Science,Female,"1,691"
2016,Cornell University,Science,Male,"1,672"
2016,Cornell University,Engineering,Total for selected values,"1,657"
2016,Cornell University,Engineering,Female,573
2016,Cornell University,Engineering,Male,"1,084"
2016,Cornell University,Health,Total for selected values,143
2016,Cornell University,Health,Female,78
2016,Cornell University,Health,Male,65
2016,Dartmouth College,Total for selected values,Total for selected values,937
2016,Dartmouth College,Science,Total for selected values,546
2016,Dartmouth College,Science,Female,256
2016,Dartmouth College,Science,Male,290
2016,Dartmouth College,Engineering,Total for selected values,213
2016,Dartmouth College,Engineering,Female,61
2016,Dartmouth College,Engineering,Male,152
2016,Dartmouth College,Health,Total for selected values,178
2016,Dartmouth College,Health,Female,96
2016,Dartmouth College,Health,Male,82
2016,Duke University,Total for selected values,Total for selected values,"2,555"
2016,Duke University,Science,Total for selected values,"1,760"
2016,Duke University,Science,Female,815
2016,Duke University,Science,Male,945
2016,Duke University,Engineering,Total for selected values,624
2016,Duke University,Engineering,Female,195
2016,Duke University,Engineering,Male,429
2016,Duke University,Health,Total for selected values,171
2016,Duke University,Health,Female,112
2016,Duke University,Health,Male,59
2016,Harvard University,Total for selected values,Total for selected values,"5,152"
2016,Harvard University,Science,Total for selected values,"4,453"
2016,Harvard University,Science,Female,"2,033"
2016,Harvard University,Science,Male,"2,420"
2016,Harvard University,Engineering,Total for selected values,197
2016,Harvard University,Engineering,Female,59
2016,Harvard University,Engineering,Male,138
2016,Harvard University,Health,Total for selected values,502
2016,Harvard University,Health,Female,316
2016,Harvard University,Health,Male,186
2016,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,735"
2016,Massachusetts Institute of Technology,Science,Total for selected values,"2,118"
2016,Massachusetts Institute of Technology,Science,Female,681
2016,Massachusetts Institute of Technology,Science,Male,"1,437"
