Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
S&E Fields,Science and engineering,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[S&E Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2016,Total for selected values,Total for selected values,Total for selected values,"39,115"
2016,Brown University,Total for selected values,Total for selected values,"1,618"
2016,Brown University,Science and engineering,Total for selected values,"1,618"
2016,Brown University,Science and engineering,Female,707
2016,Brown University,Science and engineering,Male,911
2016,Columbia University in the City of New York,Total for selected values,Total for selected values,"6,408"
2016,Columbia University in the City of New York,Science and engineering,Total for selected values,"6,408"
2016,Columbia University in the City of New York,Science and engineering,Female,"2,550"
2016,Columbia University in the City of New York,Science and engineering,Male,"3,858"
2016,Cornell University,Total for selected values,Total for selected values,"5,020"
2016,Cornell University,Science and engineering,Total for selected values,"5,020"
2016,Cornell University,Science and engineering,Female,"2,264"
2016,Cornell University,Science and engineering,Male,"2,756"
2016,Dartmouth College,Total for selected values,Total for selected values,759
2016,Dartmouth College,Science and engineering,Total for selected values,759
2016,Dartmouth College,Science and engineering,Female,317
2016,Dartmouth College,Science and engineering,Male,442
2016,Duke University,Total for selected values,Total for selected values,"2,384"
2016,Duke University,Science and engineering,Total for selected values,"2,384"
2016,Duke University,Science and engineering,Female,"1,010"
2016,Duke University,Science and engineering,Male,"1,374"
2016,Harvard University,Total for selected values,Total for selected values,"4,650"
2016,Harvard University,Science and engineering,Total for selected values,"4,650"
2016,Harvard University,Science and engineering,Female,"2,092"
2016,Harvard University,Science and engineering,Male,"2,558"
2016,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,735"
2016,Massachusetts Institute of Technology,Science and engineering,Total for selected values,"4,735"
2016,Massachusetts Institute of Technology,Science and engineering,Female,"1,460"
2016,Massachusetts Institute of Technology,Science and engineering,Male,"3,275"
2016,Princeton University,Total for selected values,Total for selected values,"2,061"
2016,Princeton University,Science and engineering,Total for selected values,"2,061"
2016,Princeton University,Science and engineering,Female,732
2016,Princeton University,Science and engineering,Male,"1,329"
2016,Stanford University,Total for selected values,Total for selected values,"6,506"
2016,Stanford University,Science and engineering,Total for selected values,"6,506"
2016,Stanford University,Science and engineering,Female,"2,201"
2016,Stanford University,Science and engineering,Male,"4,305"
2016,University of Pennsylvania,Total for selected values,Total for selected values,"2,859"
2016,University of Pennsylvania,Science and engineering,Total for selected values,"2,859"
2016,University of Pennsylvania,Science and engineering,Female,"1,205"
2016,University of Pennsylvania,Science and engineering,Male,"1,654"
2016,Yale University,Total for selected values,Total for selected values,"2,115"
2016,Yale University,Science and engineering,Total for selected values,"2,115"
2016,Yale University,Science and engineering,Female,960
2016,Yale University,Science and engineering,Male,"1,155"
2015,Total for selected values,Total for selected values,Total for selected values,"38,996"
2015,Brown University,Total for selected values,Total for selected values,"1,604"
2015,Brown University,Science and engineering,Total for selected values,"1,604"
2015,Brown University,Science and engineering,Female,688
2015,Brown University,Science and engineering,Male,916
2015,Columbia University in the City of New York,Total for selected values,Total for selected values,"6,095"
2015,Columbia University in the City of New York,Science and engineering,Total for selected values,"6,095"
2015,Columbia University in the City of New York,Science and engineering,Female,"2,387"
2015,Columbia University in the City of New York,Science and engineering,Male,"3,708"
2015,Cornell University,Total for selected values,Total for selected values,"4,961"
2015,Cornell University,Science and engineering,Total for selected values,"4,961"
2015,Cornell University,Science and engineering,Female,"2,171"
2015,Cornell University,Science and engineering,Male,"2,790"
2015,Dartmouth College,Total for selected values,Total for selected values,751
2015,Dartmouth College,Science and engineering,Total for selected values,751
2015,Dartmouth College,Science and engineering,Female,315
2015,Dartmouth College,Science and engineering,Male,436
2015,Duke University,Total for selected values,Total for selected values,"2,632"
2015,Duke University,Science and engineering,Total for selected values,"2,632"
2015,Duke University,Science and engineering,Female,"1,169"
2015,Duke University,Science and engineering,Male,"1,463"
2015,Harvard University,Total for selected values,Total for selected values,"4,438"
2015,Harvard University,Science and engineering,Total for selected values,"4,438"
2015,Harvard University,Science and engineering,Female,"1,937"
2015,Harvard University,Science and engineering,Male,"2,501"
