Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
,,,,
,,<measures>,,
[Year],[Institution Name],[Sex],Postdoctorates by Demographic Characteristics,Graduate Students by Demographic Characteristics and Enrollment
2016,Total for selected values,Total for selected values,"15,384","40,526"
2016,Brown University,Total for selected values,305,"1,745"
2016,Brown University,Female,115,807
2016,Brown University,Male,190,938
2016,Columbia University in the City of New York,Total for selected values,"1,219","6,498"
2016,Columbia University in the City of New York,Female,533,"2,628"
2016,Columbia University in the City of New York,Male,686,"3,870"
2016,Cornell University,Total for selected values,838,"5,163"
2016,Cornell University,Female,361,"2,342"
2016,Cornell University,Male,477,"2,821"
2016,Dartmouth College,Total for selected values,176,937
2016,Dartmouth College,Female,73,413
2016,Dartmouth College,Male,103,524
2016,Duke University,Total for selected values,587,"2,555"
2016,Duke University,Female,241,"1,122"
2016,Duke University,Male,346,"1,433"
2016,Harvard University,Total for selected values,"5,873","5,152"
2016,Harvard University,Female,"2,451","2,408"
2016,Harvard University,Male,"3,422","2,744"
2016,Massachusetts Institute of Technology,Total for selected values,"1,503","4,735"
2016,Massachusetts Institute of Technology,Female,444,"1,460"
2016,Massachusetts Institute of Technology,Male,"1,059","3,275"
2016,Princeton University,Total for selected values,522,"2,061"
2016,Princeton University,Female,162,732
2016,Princeton University,Male,360,"1,329"
2016,Stanford University,Total for selected values,"2,228","6,515"
2016,Stanford University,Female,887,"2,205"
2016,Stanford University,Male,"1,341","4,310"
2016,University of Pennsylvania,Total for selected values,964,"3,038"
2016,University of Pennsylvania,Female,397,"1,344"
2016,University of Pennsylvania,Male,567,"1,694"
2016,Yale University,Total for selected values,"1,169","2,127"
2016,Yale University,Female,478,971
2016,Yale University,Male,691,"1,156"
2015,Total for selected values,Total for selected values,"15,160","40,455"
2015,Brown University,Total for selected values,252,"1,712"
2015,Brown University,Female,104,774
2015,Brown University,Male,148,938
2015,Columbia University in the City of New York,Total for selected values,"1,249","6,194"
2015,Columbia University in the City of New York,Female,555,"2,472"
2015,Columbia University in the City of New York,Male,694,"3,722"
2015,Cornell University,Total for selected values,856,"5,089"
2015,Cornell University,Female,341,"2,246"
2015,Cornell University,Male,515,"2,843"
2015,Dartmouth College,Total for selected values,204,926
2015,Dartmouth College,Female,87,397
2015,Dartmouth College,Male,117,529
2015,Duke University,Total for selected values,584,"2,785"
2015,Duke University,Female,215,"1,263"
2015,Duke University,Male,369,"1,522"
2015,Harvard University,Total for selected values,"5,674","5,011"
2015,Harvard University,Female,"2,381","2,279"
2015,Harvard University,Male,"3,293","2,732"
2015,Massachusetts Institute of Technology,Total for selected values,"1,493","4,723"
2015,Massachusetts Institute of Technology,Female,389,"1,430"
2015,Massachusetts Institute of Technology,Male,"1,104","3,293"
2015,Princeton University,Total for selected values,526,"2,022"
2015,Princeton University,Female,153,718
2015,Princeton University,Male,373,"1,304"
2015,Stanford University,Total for selected values,"2,264","6,610"
2015,Stanford University,Female,884,"2,208"
2015,Stanford University,Male,"1,380","4,402"
2015,University of Pennsylvania,Total for selected values,901,"3,312"
2015,University of Pennsylvania,Female,382,"1,486"
