,Years,Anthropology,Astronomy and astrophysics,Biology,Chemistry,Computer sciences,Economics (except agricultural),Geosciences,Mathematics and applied mathematics,"Microbiology, immunology, and virology",Nutrition,Pharmacology and toxicology,Physics,Physiology,Sociology,Statistics,Science
0,1995,-14,1,7,-1,24,-3,-10,-2,-1,-1,-2,1,0,-17,6,-12
1,1996,12,2,-18,-4,-5,-8,3,0,-3,2,-3,-5,-6,0,3,-30
2,1997,-3,-3,-2,5,-56,13,-5,8,-1,-1,-3,0,1,-17,-22,-86
3,1998,-9,0,10,2,31,-19,4,3,-1,-2,-1,2,-2,6,5,29
4,1999,-10,-2,-4,1,29,10,11,11,-4,-5,3,-8,0,-1,-19,12
5,2000,-5,1,0,0,0,-10,-18,-2,-5,0,-1,1,-1,-11,0,-51
6,2001,-4,1,6,10,-2,0,-15,-2,-7,1,6,-4,-3,12,33,32
7,2002,4,0,-3,16,18,-11,3,13,-4,-1,2,4,0,11,-2,50
8,2003,13,0,-14,-7,41,1,-5,9,-1,1,0,-1,1,3,23,64
9,2004,-3,0,20,-16,3,-2,0,-6,1,-6,-2,-2,1,-2,-9,-23
10,2005,1,1,-7,-18,19,-1,-12,-5,-6,8,-7,-2,0,3,1,-25
11,2006,3,1,0,4,42,0,3,-10,-2,-2,4,-6,0,-3,-17,17
12,2007,-7,0,2,-8,85,2,-2,11,4,0,-1,-1,1,-5,20,101
13,2008,2,-2,-2,-7,-45,9,2,-12,-1,-2,-2,0,0,2,8,-50
14,2009,-1,-1,18,10,-27,4,7,2,3,0,3,7,0,10,-14,21
15,2010,-4,4,-4,7,-31,0,-8,23,1,-1,0,3,1,-9,2,-16
16,2011,-1,-3,-10,-2,43,9,5,9,5,4,-1,0,0,-5,-41,12
17,2012,-15,-6,2,-5,-33,2,-10,24,2,4,0,8,2,1,24,0
18,2013,6,1,-13,14,23,-3,7,-8,4,5,2,7,0,3,-28,20
19,2014,9,2,-1,-2,18,-4,-6,6,-7,1,2,-6,2,5,3,22
20,2015,9,-2,3,-2,-8,-6,-7,-46,2,4,1,8,-1,3,-3,-45
21,2016,-10,-3,6,5,42,-4,8,-28,-4,-3,4,4,0,5,1,23
